PARTICIPANT_FLOW_ID|NCT_ID|PERIOD_TITLE|RECRUITMENT_DETAILS|PRE_ASSIGNMENT_DETAILS
4142|NCT00500656|Open Label Extension (OLE) Phase||85 patients participated in the study(36 in the icatibant group and 38 in the tranexamic acid group)3 patients with laryngeal symptoms at Baseline.8 Patients were screened and found eligible but did not experience an angioedema attack, or had an attack that was not severe enough to merit treatment while the controlled phase was ongoing
4143|NCT00500760|Overall Study|153 patients were enrolled with 89 patients on panitumumab plus chemoradiation arm, and 64 patients on chemoradiotherapy alone arm.|
4144|NCT00501007|Overall Study|A total of 203 smokers were recruited from New Jersey state funded tobacco dependence treatment clinics, called QuitCenters, through clinician referrals or responses to recruitment flyers.|Reasons for exclusion included the following: Failed diagnostic screen, passed quit date/already using smoking cessation medications, changed mind about participating, smoked fewer than 10 cigarettes per day, did not have a goal to quit smoking, transportation issues, lost contact before baseline appointment, and low mini Mental Status Exam score.
4392|NCT00451451|Overall Study|Subjects were randomized at 205 investigational sites in 28 countries.|From screening, 1430 eligible subjects were equally randomized.  Of these, 1417 subjects received at least one dose of study treatment and comprised the intent-to-treat (ITT) and safety populations.
4393|NCT00451698|Overall Study||
4394|NCT00451958|CS21 (NCT00295750)|All participants who completed the CS21 study (NCT00295750) were eligible to enrol into the CS21A extension study. Since the number of participants who completed this long-term study was low, no firm conclusions can be drawn from the results.|Initially, participants treated with degarelix during CS21 continued to treatment and patients who received treatment with leuprolide during CS21 were re-randomised to one of the two degarelix treatment regimens. Following a protocol amendment, all patients received a monthly degarelix maintenance dose of 80 mg for the rest of the study.
4395|NCT00503113|Overall Study||Total 801 participants randomized.  Of the randomized patients, 263 who received at least one dose of ibandronate as an injection, 263 who received at least one dose of ibandronate as an infusion and 267 patients who received at least one dose of alendronate had at least one post-baseline assessment and were included in the safety analysis.
4396|NCT00503308|Overall Study|A randomized-controlled, non-inferiority trial was conducted from October 2006 through February 2008 at San Francisco General Hospital (SFGH), the public teaching hospital of the City and County of San Francisco.|A total of 278 English- and Spanish-speaking pregnant women were randomized to receive either abbreviated or standard nurse-performed HIV test counseling at the initial prenatal visit.
4397|NCT00503399|Overall Study||Of the 174 participants who were enrolled into the study, 92 were eligible and randomly assigned to the treatment arms.
4550|NCT00483379|Extension Period||Fourteen participants were screened and enrolled; however, one withdrew before receiving any study infusions due to the burden of weekly trips to the medical center.
4551|NCT00483496|Overall Study||
4552|NCT00483548|Overall Study||
4553|NCT00443560|Overall Study|The Obstetric Anesthesiology Database was used to identify parturients from the Labor and Delivery Unit of Prentice Women's Hospital of Northwestern Memorial Hospital who qualified for the study between January 2004 and October 2005.|
4554|NCT00443599|Overall Study|Enrollment began in September 2006 and ended in May 2012. All subjects received the study intervention in the Cardiac ICUs at Boston Children's Hospital (Boston, MA) and C.S. Mott Children's Hospital (Ann Arbor, MI).|Participants gave consent prior to cardiopulmonary bypass (CPB) surgery, randomization occurred perioperatively and initiation of the protocol occurred postoperatively. 9 subjects were removed from the study between the time of randomization and initiation of the protocol (4 for cancellation of CPB , 3 for physician decision, 2 for death).
4555|NCT00443651|Overall Study|The study was conducted in 2 stages. Stage I: Patients with an inadequate response to non-biological disease-modifying antirheumatic drugs (DMARDS) were treated with rituximab 1000 mg. Stage II: Patients with an inadequate response to a biological DMARD were treated with rituximab 500 mg. Both groups continued to receive DMARDs.|One Stage 1 patient was enrolled but did not receive treatment with rituximab, is not included in the Participant Flow data, and was not included in any of the analyses.
4882|NCT00478218|Overall Study|Fifty-three (53) participants were recruited between July 2006 and August 2008 at Mayo Clinic.|
4883|NCT00478231|Overall Study||A total of 638 participants were screened, out of which 429 participants were screen failures and 209 were assigned to the study treatment.
4884|NCT00478244|Overall Study||All subjects were registered with the BMT Biostatistical Support Group at the University of Minnesota.
4885|NCT00478556|Overall Study||
4886|NCT00478569|Overall Study|Participants took part in the study at 120 investigative sites in Austria, Denmark, Germany, Greece, Ireland, the Netherlands, Spain, and the United Kingdom from 1 April 2007 to 6 March 2013.|Participants with a diagnosis of osteoporosis and prescribed parathyroid hormone (PTH)(1-84) in a normal clinical setting were enrolled in this non-interventional study for 24 months observation. 1179 participants were enrolled however for 9 patients the data was missing.
4614|NCT00524368|Overall Study|One hundred thirteen investigators in 21 countries participated in this study.|In total 1092 participants were screened, of which 590 participants were randomly assigned and treated (294 participants were treated with DRV/rtv 800/100 mg once daily, and 296 participants with DRV/rtv 600/100 mg twice daily.
4615|NCT00524420|Overall Study|The study was conducted between January 2008 and November 2010.  Subjects were recruited from advertisements, referrals, and from a University of Washington clinic that specializes in Fibromyalgia.|493 subjects were screened over the phone.  31 subjects came into the clinic for an initial screening visit.  Subjects were allowed to maintain stable doses of medication and psychotherapy.  12 of the screened subjects did not meet criteria for randomization.  The remaining 19 were randomized, and 18 completed the study.
4616|NCT00524459|Overall Study||
4617|NCT00524511|Overall Study|September 4, 2007-July 9, 2010 Recruitment occured in the medical clinics and Labor and Delivery unit of an academic medical center|The study design dictates that patients be enrolled upon admission to Labor and Delivery. Subsequently, patients who did not deliver by cesarean delivery would be excluded
4618|NCT00524576|Overall Study||
4619|NCT00524589|Overall Study||
4620|NCT00524745|Overall Study|21 schools were (1) matched according to size, urban/rural location and ethnicity; (2) assigned to one of four groups; and (3) randomized to one of four schedules
All girls 11-13 years of age in these schools were eligible to participate.|
4621|NCT00524771|Overall Study||
4622|NCT00542828|Overall Study|Enrollment period: 05 November 2007 through 06 May 2009. Study participants were enrolled at 7 study centers in Europe.|Because the study was terminated early due to slow enrollment, only 16 participants were enrolled in the study. Of these, 14 participants went on to receive treatment with Thymoglobulin.
4623|NCT00542880|Period 1|706 subjects were enrolled; 264 were not randomised: 190 with eligibility not fulfilled, 11 with adverse events, 4 with discontinuation criteria, 40 voluntary discontinuations, 2 lost to follow-ups, 6 non-compliance, 1 for safety reasons, 10 with other reasons not specified. 442 subjects were randomised|
3896|NCT00410826|Overall Study|Patients were randomized between December 2006 and October 2011.|
3897|NCT00410891|Overall Study||
3898|NCT00410904|Overall Study|Cancer center clinic.|
3899|NCT00411151|Overall Study|First patient in (FPI): 15.02.2007                       Last patient out (LPO): 20.08.2009|
3900|NCT00411216|Overall Study||
3901|NCT00411411|Overall Study|Patients recruited from Jan. 2008 to Dec 2009 through out-patient clinic and advertisement|
3971|NCT00433290|Overall Study||
3972|NCT00433329|Overall Study|The study was conducted at 23 centers in the United States. First patient, first visit: 25 April 2007; last patient, last visit:	23 April 2010|The study included a screening phase of 2 weeks.
3973|NCT00459303|Overall Study|Patients with clinically significant cataract received cataract surgery and implantation of aspherical IOL in one eye and spherical IOL in the contralateral eye. All cases were enrolled from October 2005 to April 2006 and were followed up for at least three months at the department of ophthalmology.|Patients with diabetes or other systemic disease, such as dysthyroid related orbitopathy or drug related optic neuropathy, that may potentially affect contrast sensitivity and visual quality were excluded.
3974|NCT00459316|Steps 1 & 2||
3975|NCT00459316|Step 3||
3976|NCT00459342|Overall Study|Recruitment Period: March 22, 2007 to April 20, 2009.  All recruitment done at UT MD Anderson Cancer Center.|
3977|NCT00459368|Overall Study|Health system primary care providers (i.e., in the areas of family practice, internal medicine, and pediatrics) were invited to participate.  Physicians who consented to participate were grouped according to practice.|One hundred ninety-two (92%) of the 207 primary care staff clinicians, representing 34 pre-defined primary care practices within the health system, agreed to participate.  One clinic was not included a priori since it functioned as the primary resident clinic for internal medicine trainees.
3978|NCT00459537|Overall Study||
3979|NCT00459667|Overall Study|Eligible patients for this study included only those who completed the preceding BEYOND study. Patients were enrolled at the conclusion of the preceding study from 03 May 2007 until 14 March 2008. Patients who interrupted study medication in accordance with the investigator were eligible, provided it did not result in premature End of Study.|All enrolled patients who had been randomized during the predecessor study to IFNB 1b (Interferon 1b) continued on previously double-blinded medication in the BEYOND-FU study; all patients who had been previously randomized to Copaxone and all patients with premature end of study medication received open-label IFNB 1b 250 µg (IFNB 1b 250 µg*).
4145|NCT00501228|Overall Study|Recruitment Period: 06/15/2005 through 05/03/2006.  All participants enrolled at U.T. M.D. Anderson Cancer Center.|Study terminated early due to lack of accrual.
4146|NCT00422097|Dose Level 2||Of 58 enrolled, 44 received treatment: 10 no longer met enrollment criteria (2 brain metastases, 2 bowel obstruction, 1 high aspartame aminotransferase [AST], 1 high AST/alanine transaminase, 2 low platelets, 1 hospitalized, 1 gastric adverse event [AE]); 2 withdrew consent/changed mind; 1 AE; 1 sponsor administrative reason.
4147|NCT00422097|Dose Level 3||Of 58 enrolled, 44 received treatment: 10 no longer met enrollment criteria (2 brain metastases, 2 bowel obstruction, 1 high aspartame aminotransferase [AST], 1 high AST/alanine transaminase, 2 low platelets, 1 hospitalized, 1 gastric adverse event [AE]); 2 withdrew consent/changed mind; 1 AE; 1 sponsor administrative reason.
4148|NCT00422097|Dose Level 4||Of 58 enrolled, 44 received treatment: 10 no longer met enrollment criteria (2 brain metastases, 2 bowel obstruction, 1 high aspartame aminotransferase [AST], 1 high AST/alanine transaminase, 2 low platelets, 1 hospitalized, 1 gastric adverse event [AE]); 2 withdrew consent/changed mind; 1 AE; 1 sponsor administrative reason.
4149|NCT00422097|Dose Level 5||Of 58 enrolled, 44 received treatment: 10 no longer met enrollment criteria (2 brain metastases, 2 bowel obstruction, 1 high aspartame aminotransferase [AST], 1 high AST/alanine transaminase, 2 low platelets, 1 hospitalized, 1 gastric adverse event [AE]); 2 withdrew consent/changed mind; 1 AE; 1 sponsor administrative reason.
4150|NCT00422097|Dose Level 6||Of 58 enrolled, 44 received treatment: 10 no longer met enrollment criteria (2 brain metastases, 2 bowel obstruction, 1 high aspartame aminotransferase [AST], 1 high AST/alanine transaminase, 2 low platelets, 1 hospitalized, 1 gastric adverse event [AE]); 2 withdrew consent/changed mind; 1 AE; 1 sponsor administrative reason.
4151|NCT00422097|Ixabepilone With Famotidine or Food||Of 58 enrolled, 44 received treatment: 10 no longer met enrollment criteria (2 brain metastases, 2 bowel obstruction, 1 high aspartame aminotransferase [AST], 1 high AST/alanine transaminase, 2 low platelets, 1 hospitalized, 1 gastric adverse event [AE]); 2 withdrew consent/changed mind; 1 AE; 1 sponsor administrative reason.
4152|NCT00422162|Overall Study||Of the 392 patients who signed informed consent, 339 were randomized.
4153|NCT00422201|Overall Study|18 patients recruited. Recruitment terminated.|
4154|NCT00422227|Overall Study|Subjects were recruited in the Asia-Pacific Region from June 2007 to October 2008.|Screening of subjects occurred up to 2 weeks before randomization followed by a treatment phase of 16 weeks and a 2-week safety follow up.
4155|NCT00422292|Overall Study|Participants were enrolled from 15 January 2007 to 16 March 2008 in 92 clinical centers in the US.|A total of 2289 participants who met the inclusion and exclusion criteria were enrolled and vaccinated; 1643 were included in the final analyses presented.
625 participants that got ActHIB as part of their 12 month study vaccinations prior to Protocol Amendment 2 approval were excluded from all analyses and presented in a separate report.
4156|NCT00422448|Overall Study|Pigmented lesion clinic from October 2006 to March 2009|Insufficient prospective accrual of patients during the 1st year of enrollment lead to additional retrospective inclusion of a dataset of 21 paraffin-embedded tissue specimens from excised nevi .
4157|NCT00422513|Overall Study||
4250|NCT00409773|Overall Study|Phase III
First Patient In 06-Feb-2007:; Last Patient Last Visit 16-Jul-2008
110 centers worldwide (International, 12 countries)
Eligible patients include drug-naïve patients or patients rendered naïve with the appropriate prior washout at moderately high or high risk for coronary heart disease.|Patients were randomized to 1 of 5 treatment groups: ezetimibe/simvastatin combination tablet or atorvastatin alone for 6 weeks stratified according to their baseline risk category stratum (high risk patients with atherosclerotic vascular disease or high risk patients without atherosclerotic vascular disease and moderately high risk patients).
4251|NCT00409786|Overall Study||
4252|NCT00409838|Short-term Period||
4370|NCT00427037|Overall Study|Study subjects were recruited from Nephrology and Endocrinology clinics at Emory University School of Medicine|
4371|NCT00427336|Overall Study|Recruitment Period: December 2000 to August 2009. All participants recruited at UT MD Anderson Cancer Center.|
4372|NCT00427557|Overall Study|Recruitment Period: January 05, 2007 to November 05, 2010.  All recruitment done at UT MD Anderson Cancer Center.|One participant of the 31 was enrolled but did not receive treatment.
4373|NCT00427635|Treatment Phase|Participants either full term or those with a gestational age or post-conceptual age ³28 to 44 weeks, and who were inpatients suspected of having the following clinical findings: any 2 (either individually or in any combination) of (1) apnea +/- bradycardia +/- oxygen desaturations, (2) vomiting/gagging, (3) irritability/pain at least every second|
4374|NCT00427635|Study Completion to Safety Follow-up|Participants either full term or those with a gestational age or post-conceptual age ³28 to 44 weeks, and who were inpatients suspected of having the following clinical findings: any 2 (either individually or in any combination) of (1) apnea +/- bradycardia +/- oxygen desaturations, (2) vomiting/gagging, (3) irritability/pain at least every second|
4375|NCT00427765|Overall Study|Recruitment Period: 2/4/2005 through 10/29/2010. All participant recruitment attempted at UT MD Anderson Cancer Center.|Among the participants enrolled, two were excluded from the trial before starting any treatment. There are two participants who were enrolled on the study twice (having to temporarily leave then re-enter the study).
4376|NCT00427791|Overall Study|Recruitment Period:  July 05, 2005 to August 08, 2008. All participants were enrolled at UT MD Anderson Cancer Center.|
4377|NCT00427804|Overall Study|Recruitment was conducted July 2007 to August 2008 at the Atlanta VA Medical Center.|Subjects included those with Crohn's disease and healthy controls.
4378|NCT00427895|Vax 1 Baseline/6-Month Follow-up||Participants in Cohort 1 and 2 participated for 1 year in the study. Vaccination 2 (3 to 4 years after vaccination 1) was administered to participants in Cohort 1 and 2. Participants in Cohort 3 enrolled as part of amendment 3 participated for 6 months and participants in Cohort 3 enrolled as part of amendment 4 participated for 1 year in study.
4379|NCT00450294|Overall Study|Ten patients were recruited into the study after informed consent at the preoperative anesthetic clinic during a twelve month period.|Because this is a purely OBSERVATIONAL STUDY, there was no group assignment.  All patients enrolled in the study were assigned to one group, that is, all patients had intraocular pressure measurements performed.
4624|NCT00542880|Period 2|706 subjects were enrolled; 264 were not randomised: 190 with eligibility not fulfilled, 11 with adverse events, 4 with discontinuation criteria, 40 voluntary discontinuations, 2 lost to follow-ups, 6 non-compliance, 1 for safety reasons, 10 with other reasons not specified. 442 subjects were randomised|
4625|NCT00542880|Period 3|706 subjects were enrolled; 264 were not randomised: 190 with eligibility not fulfilled, 11 with adverse events, 4 with discontinuation criteria, 40 voluntary discontinuations, 2 lost to follow-ups, 6 non-compliance, 1 for safety reasons, 10 with other reasons not specified. 442 subjects were randomised|
4626|NCT00463567|Overall Study||This study consisted of two stages: a dose selection stage (Stage 1, 2 weeks) from which 2 out of 4 Indacaterol doses were selected following interim analysis to continue into Stage 2 for comparisons of efficacy, safety, and tolerability for total treatment of up to 26 weeks.
4627|NCT00463580|Overall Study||
4628|NCT00463606|Overall Study|760 participants were randomized at 144 sites in the United States, and 758 participants were treated between 07 June 2007 and 10 February 2008.  Two participants were randomized but not treated:  1 was lost to follow-up and 1 was withdrawn at the investigator's discretion.|A total of 168 study sites screened participants, wtih 144 of these sites randomizing participants.
4697|NCT00505414|Titration Phase|First participant in was enrolled on 29 June 2007 and the Last participant out was on the 02 February 2009. In general this was an out-patient study subject to country specific regulations.|Eligible participants were required to stop their previous analgesic [pain treatment] therapy at randomization. The results presented refer to randomized subjects.
4698|NCT00505414|Maintenance Phase|First participant in was enrolled on 29 June 2007 and the Last participant out was on the 02 February 2009. In general this was an out-patient study subject to country specific regulations.|Eligible participants were required to stop their previous analgesic [pain treatment] therapy at randomization. The results presented refer to randomized subjects.
4699|NCT00505518|Overall Study|The study was conducted from September 2006 to November 2007 as a collaborative project between Massachusetts General Hospital and South Cove Manor Nursing Home, which is located in Boston's Chinatown.|
4700|NCT00505622|Overall Study||
4701|NCT00505635|Overall Study|Recruitment Period: March 14, 2007 through July 9, 2009.  All participants recruited at UT MD Anderson Cancer Center.|
4702|NCT00464737|Overall Study|The Full Analysis Set (FAS) contains all randomized subjects who received at least 1 dose of trial medication, and had at least 1 post-Baseline Likert pain score.  The Per Protocol Set contains all subjects in the FAS who completed at least 2 weeks of the Maintenance Phase and had no major protocol deviations.|Participant flow is based on the 230 randomized subjects however 1 subject randomized to Rotigotine 4 mg/24 hrs did not receive study medication and was excluded from the Safety Set. Thus 229 subjects are included in summaries of baseline characteristics and adverse events. The excluded subject was a 47-year old female enrolled in the United States
4703|NCT00464945|Infant Series|Participants were recruited in Poland from June 2007 to August 2007.|Participants were enrolled into the study according to inclusion/exclusion criteria without a screening period.
4704|NCT00464945|After Infant Series|Participants were recruited in Poland from June 2007 to August 2007.|Participants were enrolled into the study according to inclusion/exclusion criteria without a screening period.
3980|NCT00395018|On-Treatment|A total of 109 participants were enrolled at 27 investigative sites.|Of the 109 participants enrolled, 65 were treated and 61 received therapy for at least 1 month. Of the 44 participants who were never treated, 23 no longer met study criteria, 9 due to administrative reason by sponsor, 6 withdrew consent, 3 due to other reasons, 2 died, 1 due to poor/non-compliance.
3981|NCT00395018|Off-Treatment Follow-up|A total of 109 participants were enrolled at 27 investigative sites.|Of the 109 participants enrolled, 65 were treated and 61 received therapy for at least 1 month. Of the 44 participants who were never treated, 23 no longer met study criteria, 9 due to administrative reason by sponsor, 6 withdrew consent, 3 due to other reasons, 2 died, 1 due to poor/non-compliance.
3982|NCT00395057|Overall Study||
3983|NCT00395083|Overall Study|The pilot study began in July 2006, and trial recruitment began in January 2007 with 6 sites, later expanding to 20.  Recruitment ended early in March 2009 due to DMC recommendations.|
3984|NCT00395135|Year 1||
3985|NCT00395135|Year 2||
3986|NCT00395161|Overall Study|Dates of recruitment period:  April 2007 - November 2009; Location:  Pediatric Intensive Care Unit (PICU)|Patients were stratified according to immunocompromised status prior to randomization.
3722|NCT00394914|Treatment Period||All enrolled participants were screened. After the screening visit and before randomization, participants received weekly phone calls and revisited the site once per month during a Pre-exposure Period until exposed to a household member with a cold (index case).
3723|NCT00414466|Overall Study|A total of 254 subjects were enrolled into the study between December 2006 and October 2009.|During a 2-week screening period subjects were required to meet eligibility criteria including maintaining stable pain medications and demonstrating a numerical pain rating score of 6 or greater averaged over the last 7 days of screening. A total of 170 subjects met eligibility criteria, were implanted with an infusion system and were randomized.
3724|NCT00440401|Overall Study||From the total of 120 enrolled subjects, data are presented for 119 randomised subjects that received trial treatment (= Intention to Treat (ITT) population).
3725|NCT00440466|Overall Study||
3726|NCT00440505|First Intervention|This double-blind prospective study was approved by the Institutional Review Board of Columbia University Medical Center.  Written consent was obtained from all subjects. Women presenting with chronic pelvic pain to a gynecologist or to the pain clinic at New York Presbyterian Hospital were eligible for inclusion.|Twenty-six women were recruited for the study.  Six women declined to participate after consenting but before commencing treatment; these women are not included in the analysis.
3727|NCT00440505|Second Intervention|This double-blind prospective study was approved by the Institutional Review Board of Columbia University Medical Center.  Written consent was obtained from all subjects. Women presenting with chronic pelvic pain to a gynecologist or to the pain clinic at New York Presbyterian Hospital were eligible for inclusion.|Twenty-six women were recruited for the study.  Six women declined to participate after consenting but before commencing treatment; these women are not included in the analysis.
4158|NCT00422656|Overall Study|This study enrolled patients at Dana-Farber Cancer Institute in Boston, MA as well as at the Community Hospital of Monterey Peninsula in Monterey, CA|
4159|NCT00422669|Overall Study|Enrollments in the Optimize RV trial began in March of 2007. The study was terminated early on March 26, 2009 after 205 subjects had been enrolled.|Seven subjects did not meet inclusion/exclusion criteria.
4160|NCT00422734|Overall Study||
4161|NCT00422903|Overall Study||
4162|NCT00422942|Overall Study||
4163|NCT00446173|Overall Study|Recruitment Period: 03/05/07 through 01/26/09.  All participants recruited at UT MD Anderson Cancer Center.|Study terminated early due to no accrual.
4164|NCT00446199|Overall Study|The study was conducted at 79 centers in the United States from 26 Mar 2007 (date of first participant's first visit) to 03 Nov 2008 (date of last participant's last visit)|2457 Screened; 1722 Screen Failures; 735 randomized; 726 treated (Safety Analysis Set, SAF); 710 Full Analysis Set (FAS, randomized subjects with Baseline vasomotor symptom (VMS) data, took ≥1 study dose plus ≥1 VMS data day postdose); 569 Per Protocol Set (PPS, all subjects in FAS with ≥75% study drug compliance and no major protocol violations).
4165|NCT00446251|Overall Study|Subjects were recruited from the parent study: "Highly Sensitized Patients: effects of mycophenolate mofetil (MMF) on anti-human lymphocyte antibody levels in patients awaiting renal transplant" study" at 8  months if the subject had not experienced a 10% or greater reduction in Panel of Reactive Anti-bodies(PRA.|Single arm study: all subjects received 2 Rituximab infusions of 1,000 mg. Subjects were kept at their highest tolerated dose of mycophenolate mofetil(MMF)from parent study.
4166|NCT00446264|Overall Study|Recruitment period: 2003-2006 University Lille Hospital|
4167|NCT00446459|8 Months|All study subjects were recruited from University of Washington Medical Center's kidney transplant wait list. Patients with a Panel of Reactive Antibodies (PRA)over 50% for 6 months or longer between 18 and 75 year of age were contacted by letter and then by phone to schedule screening visit. Enrollment occured from 4/24/06 to 9/06/07.|Subjects were consented, given a physical exan and laboratory tests including serum virologies current Hepatitis B immunization and Tuberculosis (TB) testing initially. Abnormalities in white or red blood cells, platelets, TB test or signs of infection or evidence of cancer were grounds for exclusion.
4168|NCT00446459|12 Months|All study subjects were recruited from University of Washington Medical Center's kidney transplant wait list. Patients with a Panel of Reactive Antibodies (PRA)over 50% for 6 months or longer between 18 and 75 year of age were contacted by letter and then by phone to schedule screening visit. Enrollment occured from 4/24/06 to 9/06/07.|Subjects were consented, given a physical exan and laboratory tests including serum virologies current Hepatitis B immunization and Tuberculosis (TB) testing initially. Abnormalities in white or red blood cells, platelets, TB test or signs of infection or evidence of cancer were grounds for exclusion.
4169|NCT00446511|Overall Study||
4512|NCT00386334|Follow up:2 Week Placebo, 2 Week no Drug||823 participants were screened.  Two participants in each arm completed all assessments for the double blind period but discontinued before starting the follow up period (withdrew consent; did not take any single blind medication in follow up period).
4513|NCT00386360|Overall Study|Screening started 3 April 2006|
4514|NCT00386425|Overall Study||Efficacy results are only provided for the intent-to-treat (ITT) population (patients who actually received the randomized treatment after the 24 hour pretreatment period).
4515|NCT00386477|Overall Study||
4516|NCT00539032|Overall Study|Participants were enrolled from 30 September to 03 November 2007, at 4 health centers in Saudi Arabia.|A total of 238 participants who met the inclusion and exclusion criteria were enrolled and vaccinated.
4517|NCT00539110|Overall Study||
4518|NCT00539188|Overall Study||
4253|NCT00409838|Long-term Extension Period||
4254|NCT00410046|Overall Study|Patients were recruited in Europe from November 2006 to January 2008.|Patients in 0881A3-402 (NCT00247962) were randomized to receive etanercept (ETN) or sulphasalazine (SSZ). After completion, they were eligible for enrollment into this extension study and all patients received ETN.  Outcome measure analysis kept the 0881A3-402 assignment of ETN or SSZ. This enabled an analysis of changes from the original baseline.
4255|NCT00410072|Day 1 to Week 48||669 participants were enrolled; 384 were randomized. Among 285 who were not randomized, 266 did not meet the study criteria, 11 other, 1 poor compliance/noncompliance, 4 lost to follow-up, 1 withdrew consent, and 2 for administrative reasons.
4256|NCT00410072|After Week 48 to Week 96||669 participants were enrolled; 384 were randomized. Among 285 who were not randomized, 266 did not meet the study criteria, 11 other, 1 poor compliance/noncompliance, 4 lost to follow-up, 1 withdrew consent, and 2 for administrative reasons.
4257|NCT00410124|Core Phase Double Blind (15 Months)||Core period was terminated due to early achievements of efficacy targets and patients who were receiving study drug and patients receiving placebo in double blind phase had option to continue into the extension phase to receive open label RAD001.
4258|NCT00410124|Extension Phase - Open Label (45 Months)||Core period was terminated due to early achievements of efficacy targets and patients who were receiving study drug and patients receiving placebo in double blind phase had option to continue into the extension phase to receive open label RAD001.
4259|NCT00410150|Overall Study||
4260|NCT00410163|Treatment and Follow-up Phase (2 Years)||Participants received up to 6 courses (22 weeks) of treatment. After treatment, participants were evaluated for up to 18 months in a follow-up (FU) period and then entered an extended FU phase (up to Month 60). The overall study period reported is from 09 January 2007 to 05 June 2013, when all phases of the study were completed.
4705|NCT00401752|Overall Study|Total 219 patients from 18 centers in China who had been receiving a stable daily dose of 1 or more NSAIDs for at least 2 weeks and who had an NSAID-associated GU verified by EGD at baseline were randomized. The first patient was enrolled on 31 Mar 2006, the last patient was completed on 17 Nov 2008.|Total 397 patients from 24 centers in China were enrolled. 178 patients were not randomised due to unwillingness to continue the study or development of any exclusion criteria, etc. Total 219 patients were randomised, 217 patients were included in ITT population.
4706|NCT00401830|Overall Study||
4707|NCT00401973|Overall Study||
4708|NCT00402051|Overall Study||136 patients signed informed consent. Of these, 3 patients were discontinued prior to randomization (1x protocol entry criteria not met, 2x patient decision); 133 patients were randomized, 130 patients started study drug.
4709|NCT00402103|Overall Study||
4710|NCT00402194|Overall Study|Subjects were recruited by word of mouth and flyers posted in key locations on campus.|
4711|NCT00402233|Overall Study||There were 312 patients enrolled and 311 patients entered
4785|NCT00447603|Filter Period|The study was discontinued early due to limited availability of sites and readiness of sites to enroll participants within the predefined time. Although some participants were screened and entered Filter Period, none were randomly assigned to a treatment arm and none entered double-blind treatment period.|Enrolled participants entered screening. If initial criteria were met, eligible participants were separated into 2 strata based on weight and administered either 25-50mg or 50-100mg Losartan during Filter Period. Participant’s whose blood pressure did not respond were eligible to be randomly assigned to the Treatment period of the study.
4786|NCT00447902|Overall Study|With FDA and EMEA agreement, the trial was prematurely discontinued before reaching the target number of patients to be entered due to poor recruitment. For this reason analyzing and reporting data as planned for primary and secondary endpoints have not been performed. No objectives were reached and no conclusion can be drawn from this study.|One patient has been randomised by mistake in Brasil and so he was not treated
4787|NCT00448175|12 Weeks PTNS vs. Drug|Subjects were recruited by investigator sites with limited advertising|After 12 weekly PTNS treatments, 35 patients were considered responders (reporting of "Moderately" or "Markedly" improved on the Global Response Assessment (GRA))and allowed to continue in the trial through 12 months.
4788|NCT00448175|Continued PTNS Through 12 Months|Subjects were recruited by investigator sites with limited advertising|After 12 weekly PTNS treatments, 35 patients were considered responders (reporting of "Moderately" or "Markedly" improved on the Global Response Assessment (GRA))and allowed to continue in the trial through 12 months.
4789|NCT00448227|Overall Study||
4790|NCT00448344|Overall Study||
4791|NCT00448435|Treatment Period I - 4 Weeks||
4792|NCT00448435|Washout Period - 2 Weeks||
3728|NCT00440505|Third Intervention|This double-blind prospective study was approved by the Institutional Review Board of Columbia University Medical Center.  Written consent was obtained from all subjects. Women presenting with chronic pelvic pain to a gynecologist or to the pain clinic at New York Presbyterian Hospital were eligible for inclusion.|Twenty-six women were recruited for the study.  Six women declined to participate after consenting but before commencing treatment; these women are not included in the analysis.
3729|NCT00464945|Toddler Dose|Participants were recruited in Poland from June 2007 to August 2007.|Participants were enrolled into the study according to inclusion/exclusion criteria without a screening period.
3730|NCT00465088|Overall Study||Of the 199 subjects randomized, 6 did not receive study drug:  2 withdrew consent, 1 had a protocol violation, and 3 had randomization errors.  193 subjects were treated.
3731|NCT00465361|Baseline Assessment|Recruitment Period:  August 2007-July 2008 Location:  Academic medical center|Seven participants were enrolled.  Four participants did not complete the study due to personal issues.
3732|NCT00465361|Post-Intervention Assessment|Recruitment Period:  August 2007-July 2008 Location:  Academic medical center|Seven participants were enrolled.  Four participants did not complete the study due to personal issues.
3733|NCT00465530|Overall Study||
3734|NCT00465647|Overall Study|23-Apr-2007 (first subject, first visit) to 03-May-2009 (last subject, last visit).  Multicenter study conducted at 18 sites in the United States (US).|Subjects who were anticipated to have acute, postoperative pain requiring oral opioid analgesics for at least 24 to 48 hours following postoperative parenteral analgesia.
3807|NCT00313144|Overall Study|This was a surveillance study conducted by Coram, Inc., in locations throughout the United States, and supervised by Baxter. Enrollment began in June 2006 and the study was terminated early, in December 2008, due to Aralast being phased out of the market.|127 participants enrolled in the study, of these 126 participated in the health related quality of life (HRQoL) and healthcare resource utilization (HCRU) portion, 61 consented to the blood draw portion, and 66 only consented to the Quality of Life portion
3808|NCT00313170|Overall Study|Postmenopausal women with oestrogen receptor positive advanced breast cancer progressing or relapsing after previous endocrine therapy were randomised between 30th May 2006 and 29th November 2007.|Of the 161 patients enrolled, 17 were not randomised; 1 had an adverse event, 1 had disease progression, 13 had incorrect enrollment (ie. did not comply with one or more inclusion or exclusion criteria), 1 patient voluntarily discontinued and 1 patient had other reason for not being randomised.
